description,price,image_urls,images
Gold Kundan Earring Pearl String Pendant Necklace Set,1500.00,https://img.faballey.com/Images/Product/ZNS00008/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00008/1.jpg', 'path': 'full/2ab8f7db50e41f5d5d3a7dda30a26326eb108954.jpg', 'checksum': 'a9f71a88c264a58623e62a2ecabd10e1', 'status': 'downloaded'}]"
White Blue Diamond Drop String Earring Necklace Set,2875.00,https://img.faballey.com/Images/Product/ZNS00031/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00031/1.jpg', 'path': 'full/ca7640d00a4bfe572cdd287b6a60c429177c3a07.jpg', 'checksum': '9ab90bb82c91acf4d685b9659fb975af', 'status': 'downloaded'}]"
Gold Kundan Blue Bead Pearl Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00042/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00042/1.jpg', 'path': 'full/e6de7a96c9937dc93dd732d88f4bd224da19bfb1.jpg', 'checksum': '8e73b4c27a798dc4554d8bbd8a627ec3', 'status': 'downloaded'}]"
Gold Maroon Kundan Floral Necklace Set,2250.00,https://img.faballey.com/Images/Product/ZNS00058/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00058/1.jpg', 'path': 'full/d3699f3a44954d09b93f0b7de41e4afcd29f7cf2.jpg', 'checksum': 'bba54d4d0870a75a15fb61664c14f637', 'status': 'downloaded'}]"
Gold Green Kundan Bead Drop Earring Necklace Set,3750.00,https://img.faballey.com/Images/Product/ZNS00018/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00018/1.jpg', 'path': 'full/e1613624b3f2a20c4514c014109066fb1ed7f5bb.jpg', 'checksum': '265b2e7b5bd0c12a199fcdbe661e56e0', 'status': 'downloaded'}]"
Gold Green Kundan Floral Pendant Necklace Set,2100.00,https://img.faballey.com/Images/Product/ZNS00063/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00063/1.jpg', 'path': 'full/bd6653c6376f8ad05e1ca919bd58d6da696eb176.jpg', 'checksum': '2703da5022d0e750ae1fecd26eaf3f39', 'status': 'downloaded'}]"
Gold Kundan Green Drop Pearl Earring Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00047/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00047/1.jpg', 'path': 'full/f8938db54ea8eaa7c7ff0ab32d3744832edc9509.jpg', 'checksum': '0f58f63e1442094e3a74c5931492edf1', 'status': 'downloaded'}]"
Gold Kundan Pearl Earring Necklace Set,2375.00,https://img.faballey.com/Images/Product/ZNS00044/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00044/1.jpg', 'path': 'full/418e58f0c48629ffede1dc2d02e5ea60fb6ec548.jpg', 'checksum': 'dc144dd3487acaf9d59773a19464b0e5', 'status': 'downloaded'}]"
Gold Kundan Mangtika Earring Necklace Set,3500.00,https://img.faballey.com/Images/Product/ZNS00002/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00002/1.jpg', 'path': 'full/f23616bf2d608208bda5b7901b6b84c3836c55ce.jpg', 'checksum': '3bf3b6c91dabe0c65458587824526c5c', 'status': 'downloaded'}]"
White Diamond Floral Bunch Earring Necklace Set,2750.00,https://img.faballey.com/Images/Product/ZNS00032/1.jpg,"[{'url': 'https://img.faballey.com/Images/Product/ZNS00032/1.jpg', 'path': 'full/55a181168d349224da9e2ebd4c4c15cf405d67be.jpg', 'checksum': '49ea84fe3022e16cde04a5181214071b', 'status': 'downloaded'}]"
